	R1_Rigid_Posture_Copy	R2_Face_Centric	R3_Punctuated_Motions	R4_Vertical_Movements	R5_Subordinate_Fluidity	F1_Fluid_Posture	F2_Eye_Centric	F3_Gliding_Motions	F4_Horizontal_Movements	F5_Subordinate_Rigidity	PF1_Restless_Momentum	PF2_Toggling_Eyes	PF3_Body_Swaying	PF4_Casual_Hands	PF5_Alert_Perk_Ups	RF1_Viscous_Inertia	RF2_Fixed_Gaze	RF3_Diagonal_Eye_Drifts	RF4_Searching_Scowling	RF5_Narrow_Head_Zoning	PR1_Head_Pushes	PR2_Head_Shakes	PR3_Shoulder_Shrugs	PR4_Fluent_Articulation	PR5_Projecting_Hands	RR1_Poised_Receding	RR2_Disengaging_Eyes	RR3_Exerted_Pushes	RR4_Momentum_Halting	RR5_Meticulous_Hands
Garry Kasparov	4	7	4	7	7		2	4	4		2	2	4	4	2	2	4	7	4	4	7	7	4	4	7		2	2	2	4
Judit Polgar	2		2			4	7	2	2		2	4	2	4	2	4	4	4		7	4	4	2		2		2			
Anatoly Karpov			2			7	7	4	7	2		4				4	7	7	2	7	7	4	4	2	0		2			
Michael Stevens	4	2	4	4	4	7	4	7	2	2	4	4	7	4	7	2	4	2	2	2	4	4	4	4	7			2		4
Anthony Gonzalez (M83)	2		2	2		7	4	7	4	4	4	4	7	4	2	2	2	2	4	2	4	4	4	2	4	4	4	2	2	4
Aeona Lucia	7	7	4	7	7	4	4	7	7	0	4	7	7	4	2	2	4	7	4	2	7	4	2	4	7	7	4	2	2	7
John Lennon	2	0	2	2		7	7	7	4	4	4	7	4	7	2	4	4	7	2	4	4	4	2	2	0	2	2		4	7
Michael Jackson	4	4	2	4	2	2	2		2		4	2	2	2	2		2	2		2	4	4	2	4	4	4	7	2	2	4
Vaia Tsolas	7	4	4	7	4		2	2			4	4	0		2		2		2	4	4	2	2	4	4	7	2	7	4	4
Safsom			7	4		2	7	2	2	7	2	2	2	4		4	7		4	7	4	4	2	4	4			4		4
Levi	7	4	4	4	7		2	2	4		2	4	0	7		2	7	4	2	7						7	4	7	7	7
Gary Linkov		2		2		7	7	4	4	4	4	7	2	7	2	2	2	2	4	2	2	2	4	4	2	0	0	4	2	2
Morrigan DeLucia			2	2		4	7	4	4	4	4	7	2	2	2	4	4	4	2	7	2	2		4	7	4	4	2	4	4
Vinh Giang	4	4	7	7	7	2			4		4	4	7	4	7		2	4	2		7	7	2	7	7	2			2	2
Robert E. Kahn	2		2	2		2	7		4	2						4	7	2		7	4	2	2	4	4					
Pierce Brown		2	2	4		7	7	4	4	4	2	4	7	4	4	4		4	7	2	4	2		4	7		2	2	2	2
Andrew Wiles	7	4	4	7	4	2		2	2			2		2			2	2	2	2	4	2			4	2	7	4	2	2
Douglas Hofstadter	2	2	2	4		4	7	2	4	4	2	7	2	2	2	7	7	4		7	2	2	2	4	7	2	4	2	2	7
Noah Kahan	2	2		4		7	7	4	2		4	7	4	2	2	2	4	2	2	2	2	2	2	4	4	2	2	2	2	2
Zainab Bangura		2	4	4		4	2	2	4	2		2	2	2	2	4	4	2	7	7	4	2	2	7	7		4	2		2
Alex Hormozi	7	7	4	7	7	4	2	2	4		2	4	4	4	4	2	2	2	2	2	7	4	4	4	7		7	2	2	2
Gloria White-Hammond	2	4	7	4	7	4	2	4	2		2	2	7	4	2	4	4	2		4	4	7		4	7			2	4	4
Trueno			2			7	7	7	7	4	7	4	7	7	4		2	2				2			2		2			2
Anton LaVey	2	2	0	2		4	4	2	2			4	2		2	7	7	4		4	2	2	2	4	2	2	7		2	2
Tim Berners-Lee	4	4	4	7	7	4	2	4	4	0	7	2	7		7	2	2	2	4	2	7	4	2	4	7		2	2	2	2
Mooji			4			7	7	2	4		2	2	7	4	2	4	4	7		7	4	2	0	2	7				4	2
Sara Seager	2		2				7	2				2			4	2	7	4		7	2	4		2						
Channy Leaneagh	7	7	2		7			2	4		2	4		7	0		2	4	0	2	2	2	2		4	4	4	4	7	7
Kevin Parker	2	2	2			4	7	4	7	7	4	4	7	4	4	2	2	4	2	0		2	2	4	2	7	4		2	4
Stanislav Grof		2	2	2		4	2	2	4	2		2	2	2	2	7	7	4	2	7	2	2	2	4	2	2	4	2	0	4
Brandon Cronenberg	2	2	2	4		7	7	4	7	7	4	7	7	7	4			4	0	2	4	2		4	7		2	2	2	4
Liam Payne		2	2	2		4	4	4	4	2	4	4	4	2	7				4		2	4	2	7	4	4	2			2
Demetrius Holt	2	2	2	4		7	7	7	7	4	2	4	7	4	4	2	2	4			4	2	2	2	7	0	4	2	4	2
Bruce Springsteen			2	2		7	4	4	7	4	4	4	4	7	2	4	4	4	2	4	2	4			4					
Cynthia Lennon	7	7	4	2	2			2	2			4	2	2	2			4	2	2	2	2			4	7	7	4	2	7
Guillermo del Toro			2	4		4	2	4	4	2	2	4	4	4	4	4	4	4	4	4	4	4	2	4	4	2	2		2	4
George R.R. Martin			2			7	7	7	7	4	2	2	2	4	2	4	7	7	2	7	2	4	0	2	2			2		4
Stanley Kubrick		2	2	4		4	4	2	2	4	2		2		2	7	7		2	7	4	2		2	4		2			2
Novak Djokovic	2		2	2		4	7	4	4		4	4	7	7	2	2	4	7	2	2	4	4	2	2	4				4	4
Steven Pinker	4	4	4	7	4		2	2	2		4	0	0	2	7		7	4	2	4	7	4		4	7	2	2	2	4	4
Bjarne Stroustrup			4	2		4	7	4	7	4	2	2	4	4		4	7	7	2	7	4	7	2		4		4			
Donald Knuth			0	0		7	7	7	7	4	7	2	2	4	2	2	4	7	4	7		4	4	2	2					
Katja Hoyer			2			4	7	4	7	2		4				2	7	4		7	4	2		2	7				2	4
Matt Ridley	4	4	7	7	2			2			4		0	2	2		4	4	2	0	7	7	4	7	7					
Martha Nussbaum	7	7	4	4	4			4			4	2	2		2		2	4		0	7	7	2	7	4	4	7	2	2	7
Debbie Harry	4	0		2		7	7	4	4	4	4	4	4	2	4	4	4	4	2	2	2	2	2	0	2	7	4	0	2	4
Kyle	2	2	4	4	4	4	7	2	2	2	2	4	0	2	2	4	4	4	7	7	7	2	0	4	7		4	2	2	4
Dakotah Tyler	4	4	4	7	7	2	2	4	7		7	2	4	4	7		0	2	4	4	4	7	4	4	7	2	2	0		4
Robert Sapolsky	2	4	4	4	4	4	2	4	2		7		4	2	4	2	4	4	2	4	4	7	7	4	4	2	2			4
Madison Beer	2	2	4	7		7	4	4	7	7	4	7	7	4	4			2			2	2	4	7	4	7	2	2	2	7
Arfa Karim	2	2	4	4		4	2	4	2	7	4	2	4	2	4	2	4	2	2	2	4	4	2	4	4	4	4	4	2	4
Irving Finkel	4	7	4	4	2	4		4	4		7		4	7	4		4		2	4	7	7	2	7	7					
Paris Hilton	4	7	2	4	2	2		2	2		2	4	7		2		2	4	2		4	4	4	4	2	7	4	4	2	7
Cathie Wood	7	7	4	7	2			2			2		2		4		4	4	0	4	4	4	2	4	7	2	2	4	2	7
Eddie Hall	4	4	4	4	4	4	2	2			2		2	2		2	4	4	2	7	4	4	2	4	7				2	2
Mike Tyson			2			4	7	4	4	2	4	2	4	7	4	2	4	7		4	2	4		2	7					
Oriana Fallaci	0	2	4	2		7	7	7	4	7	0	4	7	2	4	7	2	7	2	2	7	4	2	4	2	7	4	2	2	4
Douglas Murray	4	4	2	4	4	2		2	2				2	2		2	4	4	2	4	4	7	2	7	4	2	4	2	4	7
Stephen Wolfram			4	4	4	4	4	2	4	4	7		4	4	4	2	7	4	2	4	7	7	2	7	7					2
Albert Einstein	7		2				7	2		4	2	7	0		7	4	7	4		7	2	2			2	4	2		2	2
Sigmund Freud	2	4	2	2	4	4	4	0	2	2		2	4	7	2	4	2	4	4	4	7	4	4	2	7					7
Thom Yorke	4	2	2	2	0	4	4	4	2	7	4	4	4	4	2	2	2	2	4	2	2	4	2	2	4	4	7	2	4	7
Jennifer Doudna	7	7	2	4					2			4			2		4	4	2	2	7	7	0	4	2		2			4
Hilary Swank	7	7	4	4	4			2	2			4	2	2	4		2	2	4	2	7	7	4	4	7	2	2	2	2	4
Rosa Parks						7	7	2				2				7	7	7	2	7		2							4	
Kylie Minogue	2		4	2		7	4	7	7	7	4	7	7	4	7			2			4	4	2	2	4	7	4		2	7
Emmanuelle Charpentier	7	7	4	4	2			2			2	7	2	2	2						4	2	2	2	7	7	4	2	4	4
Richard Carrier	4	4	7	7	7	2	2	2	7		2	4	2	4	2	2	2		7	2	7	4	4	7	7	2	2	2		2
Nadia Murad	7	7	2								2	2	2								4			4	2	2	4	2	4	7
Alexandr Wang	2	2	2	4		4	4	4	7	7	7	7	4	7	4	2	2	4	2		7	4	2	7	7		2	2	2	2
Osama bin Laden	4	7	4	4	4	2					2	4					4			2	4			0	7	4	7	2	7	4
