	R1_Rigid_Posture_Copy	R2_Face_Centric	R3_Punctuated_Motions	R4_Vertical_Movements	R5_Subordinate_Fluidity	F1_Fluid_Posture	F2_Eye_Centric	F3_Gliding_Motions	F4_Horizontal_Movements	F5_Subordinate_Rigidity	PF1_Restless_Momentum	PF2_Toggling_Eyes	PF3_Body_Swaying	PF4_Casual_Hands	PF5_Alert_Perk_Ups	RF1_Viscous_Inertia	RF2_Fixed_Gaze	RF3_Diagonal_Eye_Drifts	RF4_Searching_Scowling	RF5_Narrow_Head_Zoning	PR1_Head_Pushes	PR2_Head_Shakes	PR3_Shoulder_Shrugs	PR4_Fluent_Articulation	PR5_Projecting_Hands	RR1_Poised_Receding	RR2_Disengaging_Eyes	RR3_Exerted_Pushes	RR4_Momentum_Halting	RR5_Meticulous_Hands
Samuel L Jackson		4		4		7	7	4	4	7	4	7	4	7	7	7	4	7	2	2	4	4		7	4	2	2	2	2	2
Patrick Warburton											4		4	2	4	4	4			4	7	7	2		4		4			4
Dr. Justin Sledge	2	4	2	2	2	4		4	4	4	4	4	4	4	2	7	4	7	7	4	4	4	2	4	4		4		2	4
Rick Owens	4	7	2			2	2	7			2	4	4		2	4	7	2	4		2	4		2		7	7	2	4	2
Maddie Ziegler				2		7	7	7		4	7	7	7	7	7			2			2	4		4	2	2	4			2
Ed Ruscha						7	2	7				2	4			7	7	7	7	7	2			2			7	2	2	
Anthony Edwards				2		7	7	7	4		7		7	7				2			2		2	7	2	2	4			2
Lawrence Weiner				4		2	2	2	4	7		2				7	7	4		7	2	2		7	4					4
Aaron Eckhart	7	4	7	7			2		2			2	2		4	4		7	2	2	7	7		7	7		2		2	2
Joseph Campbell	4	4	7	4	2	2		2				4	2		7	4	2	4		4	7	4	0	4	7					
David Sedaris	2		2	4		4	4	4		4	4	2	4	4	2	2	2	7	7	2	4	4	2	4	4	2	2		2	2
Aza Raskin	7	7		7	7				4			4		2					2		7	7		7	7	2	4	2	2	2
Jeremy Meeks			2	2		4	7	2	4	4	4	4	4	4	2				2		4	2	4	4	4	2	2		2	4
Israel Adesanya						4	7	2	4		2	7	2	7	2	2	2	2	7		2	2	4	4					2	
Dr. Zubin Damania	7	7	7	7	7				2			4		2	7		2	2	7	2	4	4		7	7		2	2		4
Kiun B			2	2		4	7		7	7	4	7	2	4	4			7			2		2		2			2		
Michael Huemer			2	2		7	7	2	7	7	4	4	4	7		4		4			2	2	2	4	4	2	2			4
Anderson Silva			2	4		7	7	7	4	4	7	4	7	4					2			2	4	4	2		7		4	
Melvin Manhoef	2					7	7	7			4	7	4	2		7	2				2	4	4	2					2	
Blake de Pastino	4	7	2	4	7	4	2		4		2	4		7	2	2	2	2	2	2	4	2	2	7	4	2	4	2	2	7
Kallie Moore	4	4	4	4	4	2	4	2	4		2	4	2	7	4	4	0	2			7	4	2	7	4	4	7	2	2	7
James Ransone			2	2		7	7	2	4	7	2	4	2	7	7			7	7	2	2	2	2	4	4	0	2	0	2	2
Drake Bell	0			2		7	7	4	7		4	2	4	7	2	2		4	4	2		0		4	2	2	4		0	
Ariana Grande				2		7	7	7		2	7	4	7	2	4				2		2		2	7	2	2	4			
Andrew Yang	2	4	4	4		4	2	2	7	7	2	4		4	2	4	4	7	2	7		2		7	4	2	2		2	4
Lady Gaga		2	4	4		7	2	7	4	7	4	4	7	2	2	2	2	2		4	2	2	2	4	7	4	7	2	2	2
Gwen Stefani			2	2		4	7	2	7	4	4	7	4	7	4			2			2	2		4	7	4	4	2	2	4
Desmond Tutu			4	4		4	4	2	4	7		2	2	2	4	7	4	7	7	7	7	4			4		2	4	4	7
Victor Gulenko		4		4		4	4		2	2		4		4	2	7		7	4	4	4	4		4	4	2	2	2	2	2
Milton Friedman			2	2		4	2	2	2		2					7	7			7	4	4	7	4	2					
Professor Leonard	7	7	7	7	4				4			2					4	2	2	2	7	7		7	7		4	2		4
Thomas Sowell		2	2	2		4	4	4	2	2	2	4	2	2		7	7	4	2	7	4	4	2	4	4		2	2	0	
Frank Caprio			2	2		2	2	2	4	2	0	0	2	2	2	7	7	7	4	7	4	2		7	4		2			2
Greg Mathis	4	2	4	4	4			2	4		7	2	4		2	2					7	4	2	7	7		2			
Robert Rinder	2	4	4	4		4	2	2	4		4	4	7				2	2	4		7	4	7	7	7	4	4			4
Gilbert Strang	2			4		7	2	7	4	7	2		7	2	2	7	7	4		7		7	2		4	7	7	4	7	7
Jordan Peterson	7	4	4	7	7		2	2	2		2	4	4	2	2	2	2	7	2	4	7	7	4	4	7		7	2	4	7
Christopher Langan	4	7	4	4	2			2				2	2		2	4	2	2	4	4	7	4		7	7	4	2		2	4
Daniel Bonevac	7	7	7	7				2	2		2	2			7			2	7		7	7	2	4	7	2				4
Nicole Januszczak	4	2				2	7									2	7			7	2			4						
Aubrey Plaza	4	7	2	4	2		2	2			2	7	2	4	2		0	2			2	2	2	4	2	7	4	2	2	4
Daniel Dennett						2	2	2	2						2	7	7	7		7	7	7	0	2					2	
PewDiePie	4	4				2	4	2	7	2	2	4		7	4	2		4	2				2	2	2	2	4	2	2	2
Michio Kaku		4	7	4	7	4	2	7			4	2	7	7	7	2	2	7	7		4	4		7	7	4	4	2		7
Jiddu Krishnamurti			2	4	0	2		7		7	0			2		7	7			7	4	2		2	7		7	7	2	4
Peter Harvey	7	7	4	4	4			2			2	2	2	4	2		2		2	4	7	4	2	4	7		4	2		7
Jay L. Garfield	2	4	7	7	7		2	2			2	7	2			4	2	4		4	7	7		4	7					2
Dr. Paul Williams	4	7	7	7	7			4	2		2	4	4	2	2	2	2	4		4	7	7	7	7	7	2	4	4	2	0
Ken Wheeler			2				4	2	2	7		2	2	4	2	7	7	7	7	7	2	4		7	4	4	2	2		2
Planarwalk		2	4	4		4	7	4	7	7	4	7	2	7	7	2		4	7		4	4	2	7	2		4			7
Doug Smith	2	7	7	4	7	2		7	4		2	4	4	2	7	4	2	2	0	4	7	4	7	4	7		2	4	2	
Saul Kripke	2		4	4			2	2	2	4		2	0	4	2	7	4	2	4	4			2	2	4	4	2		2	4
Taylor Swift	4	4	4	4	2	2	2	0			2	4	7		2	2		4		2	4	4		4	7	4	7	4	4	4
Jacob Bowman		4			0	7	4	2		4	7	7	4		7		4	7	2	4	2	2		2	2	2	4			4
Hilary Putnam			2	2	0	4	4	2		4	2	2	4	2		4	4	2	4	4	7	4		4	2				2	
Master Sheng Yen			2	2		7	4	4	2	4		0	7	2		4	4	4	4	7	4	4		4	4					2
Dr Antala						2		7							2	7	7			7	2	2		2						
Sasha Grey	7	4	7	4	2		2				2	4	4	2	4		2	7	4	2	4	4	2	4	4	4	7	7	4	2
à-bas-le-ciel	7	4	7	7	2	2	2					7	2	2	4	4	2		2	0	7	7	0	7	7	0	4	2	2	4
Hitomi Mochizuki						7	7	4	4	4	4	7	7	4	7			2				2	2	4	4	2	4	2		4
ReviewTechUSA	4	4	7	7	2	2		4	2		2	4	4		7	2	4	4			7	7	4	4	7			2		4
Michael Malice	7	4	7	4	2		2		2			4			4			4			2	7	4	4	7		4	2	4	2
Alex	7	7	7	2	7				2		2	4	2	2	7	2	7	4	4	4	4	7	4	4	7	4	4	4	2	4
Jeff Weiner	7	7	7	7	2							4		2	2	2	2	7	2	4	7			7	7	2				2
Austen Heinz	0	0	4	4	0	7	7	4	7	4	7	7	4	7	4	4	2	2	0	0	2	0	0	7	4	0	2	2	2	4
Jack Dorsey	7	7	4	4	7	0	2	2	4	0	0	4	0	4	4	0	2	7	4	0	4	2	4	2	4	7	7	2	2	7
Robert Webb	4	4	7	7	7	2	0	0	4	0	4	4	0	0	4	0	0	2	2	2	7	7	7	7	7	0	2	0	0	0
Andrew Huberman	4	7	4	4	7	2	0	2	4	0	2	4	2	2	4	2	0	4	2	2	7	4	2	7	7	0	4	2	4	4
Ben	0	4	0	0	0	7	7	4	4	4	4	7	4	4	4	4	2	7	4	0	0	2	2	0	2	0	7	4	4	2
Emily	4	4	0	0	0	0	0	0	2	0	0	4	0	0	0	2	7	7	2	0	0	0	0	0	0	4	0	0	0	0
Amelie Lens	0	7	0	2	0	4	2	7	4	7	7	7	4	4	7	0	2	0	2	0	2	2	2	4	0	2	7	2	0	2
Lars von Trier	0	0	0	2	0	7	7	2	2	7	2	7	0	7	2	7	2	7	4	2	4	4	2	2	2	0	2	0	2	2
Paul Walker	0	0	0	2	0	7	7	7	4	0	7	7	4	4	0	2	2	4	0	0	2	0	2	4	0	0	4	0	0	0
Freya Allan	7	7	4	4	4	0	0	0	2	0	0	4	0	4	0	0	2	0	2	4	2	2	2	7	2	7	7	2	2	7
Matt Field	0	0	4	4	0	7	7	7	4	7	7	7	4	4	0	0	0	2	0	0	2	2	0	4	7	0	2	0	0	0
Winona Ryder	7	7	2	2	4	0	0	2	4	0	2	2	2	7	2	2	0	0	2	0	4	0	2	0	4	4	7	4	2	4
Angelina Jolie	4	7	7	7	0	0	0	4	0	0	0	4	4	0	0	0	0	2	2	0	7	4	2	4	7	7	4	2	4	7
Matt Smith	0	2	4	4	0	4	7	2	4	4	4	7	2	2	4	4	2	2	0	0	2	2	0	7	7	2	2	0	0	2
Aaron Sorkin	7	7	7	7	0	0	0	2	0	0	2	0	4	0	0	0	4	0	4	0	7	7	4	7	4	0	4	0	4	0
Ursula Le Guin	2	7	2	7	7	4	0	4	0	2	0	0	0	0	0	4	4	7	0	4	7	4	2	4	4	2	7	2	2	4
Lucille Ball	7	7	4	2	2	0	2	0	2	0	0	0	2	2	4	0	4	0	0	0	7	7	0	4	4	0	0	0	0	0
Stephen James	0	0	0	2	0	7	7	7	4	2	7	7	7	7	0	0	0	2	0	0	2	0	2	2	0	0	7	2	0	0
Michelle Pfeiffer	7	7	4	4	2	0	0	0	2	0	0	7	0	2	2	0	0	2	0	0	7	4	2	2	7	7	4	4	2	7
Anna Runkle	7	7	7	7	4	0	0	2	2	0	4	0	2	0	2	0	0	0	0	7	7	7	2	4	7	0	0	0	0	0
Sharon Stone	4	4	2	4	4	2	0	4	4	0	4	4	4	4	2	0	0	2	2	0	4	4	0	7	7	7	4	2	4	7
Christina Aguilera	4	4	4	4	0	0	0	2	2	0	4	4	4	2	2	0	0	0	0	0	4	4	2	4	4	7	7	4	2	7
Ana de Armas	4	7	4	4	4	0	0	4	4	2	4	4	2	2	4	0	0	2	2	0	4	4	2	4	4	7	7	4	2	7
Molly Nilsson	7	7	4	4	2	0	0	2	2	0	0	7	0	2	2	0	2	2	0	0	0	2	0	2	2	7	7	2	4	4
Sabine Hossenfelder	0	4	2	2	0	4	2	2	4	7	4	4	4	0	2	7	7	7	0	4	4	4	2	4	4	2	4	0	0	2
Caroline Dean	4	4	7	2	0	4	7	2	4	7	0	0	0	4	0	2	7	4	0	4	7	4	0	0	7	0	4	4	0	0
Anupama Kundoo	0	2	4	4	0	2	2	2	4	7	0	2	0	0	0	4	7	4	0	4	4	0	0	2	7	2	2	4	2	7
Jane Goodall	4	0	2	4	0	0	7	0	0	4	0	0	0	0	0	7	7	7	0	7	4	4	0	4	4	4	2	0	0	0
Eleonore Stump	0	0	2	2	0	4	7	0	0	4	0	0	0	0	0	4	7	0	7	7	4	4	0	4	4	0	0	0	0	0
Celia Deane-Drummond	0	0	0	0	0	0	7	2	0	4	0	0	0	0	0	4	7	2	0	7	2	2	0	4	2	0	0	0	0	0
Lewis Hamilton	7	4	4	4	7	0	2	2	4	0	2	4	2	2	2	0	0	4	4	2	4	2	2	2	4	7	7	2	2	4
Ai Weiwei	0	2	0	0	0	4	0	2	0	0	0	0	2	0	0	7	7	7	0	7	2	2	0	0	0	2	2	0	0	2
Virgil van Dijk	7	4	0	0	2	0	0	0	2	0	0	7	0	2	0	2	2	2	0	0	2	0	0	2	0	4	7	2	4	4
Loreena Mckennitt	7	0	2	4	4	2	0	0	4	0	0	0	7	2	7	0	2	2	0	0	7	4	0	0	4	4	7	4	2	4
Ghostemane	4	7	2	4	7	0	2	4	2	0	4	7	2	2	0	2	0	2	0	2	2	2	2	2	2	7	7	4	4	4
Peter Steele	0	2	2	2	0	4	4	4	4	4	7	7	4	4	2	0	2	2	2	0	4	4	2	2	4	2	2	0	2	4
Robert Rauschenberg	0	0	0	4	0	4	7	2	4	4	0	2	4	0	0	7	4	4	4	4	4	2	2	2	2	0	0	4	4	2
Billy Corgan	0	0	2	2	0	2	4	2	0	4	7	4	7	4	4	2	2	7	2	4	0	4	4	0	2	2	7	4	2	2
Gabrielle Lyon	7	7	7	7	4	0	0	2	4	0	2	2	2	2	0	0	2	2	0	0	7	7	2	4	7	2	2	0	2	0
Anthony Joshua	0	0	4	2	0	4	4	4	7	7	4	7	4	2	0	0	2	2	0	0	2	0	2	4	7	0	2	0	0	0
Jeff Cavaliere	7	7	7	7	4	0	0	4	4	0	2	4	2	2	2	2	0	4	4	4	4	4	0	4	7	0	2	2	2	2
Wladimir Klitschko	7	7	7	4	2	0	0	0	2	0	2	2	0	2	2	0	2	0	0	0	7	4	2	4	7	0	0	0	0	0
Vitali Klitschko	7	4	7	4	0	0	0	0	2	0	0	7	0	0	2	2	7	7	2	0	2	4	2	4	7	0	0	2	2	7
Nassim Taleb	4	4	7	7	7	0	2	2	0	0	2	7	0	4	0	4	2	2	2	0	7	4	0	4	7	0	0	2	2	7
Cecily Brown	7	4	4	2	4	0	0	2	0	0	0	4	2	0	7	0	0	0	0	0	4	4	2	2	4	2	0	7	4	4
David Sinclair	7	4	4	7	0	2	4	0	0	0	0	2	2	4	0	2	7	2	0	0	4	0	2	4	7	0	4	7	4	4
Mike Patton	0	0	0	2	0	4	4	4	0	7	4	4	2	0	4	0	0	4	0	2	2	4	4	0	7	2	2	7	7	4
Francis Bacon	0	0	2	2	0	2	4	0	2	0	0	0	4	0	7	4	4	0	2	4	4	0	0	2	2	4	7	4	2	0
Gabor Mate	2	0	0	2	0	4	7	2	0	4	0	0	2	0	0	4	7	4	0	4	4	4	0	4	4	0	0	2	4	0
Aesop Rock	0	0	2	2	0	7	2	2	2	4	7	4	2	4	2	7	4	0	2	4	2	2	0	0	0	2	7	0	0	4
Joel Fuhrman	7	7	7	7	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	2	7	0	7	7	0	0	0	0	0
Dr. K	4	4	7	7	4	2	0	2	2	0	4	2	4	0	4	0	0	2	0	0	4	7	7	4	7	0	2	0	2	2
Randy Morris	0	0	0	0	0	7	7	4	4	0	7	0	7	0	4	4	7	0	4	7	2	4	0	4	2	0	0	0	0	0
Cara Delevingne	0	0	0	2	0	4	7	2	7	4	7	7	2	7	2	0	0	0	2	0	2	2	2	4	0	0	2	0	0	0
Oliver Sykes	2	2	2	0	0	4	7	4	7	4	7	4	2	7	0	2	2	7	2	2	0	0	4	2	2	2	7	0	4	2
Billy Doyle	7	7	4	4	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	2	4	0	0	0	4	7	7	7	7	7
David Hockney	0	2	0	0	0	7	4	0	4	0	7	4	7	4	4	4	4	2	7	0	2	2	2	0	2	2	0	0	0	2
Ezra Miller	2	0	2	7	0	7	7	7	4	2	7	7	7	2	0	0	0	2	4	0	7	4	0	4	7	0	7	2	4	4
Yuval Noah Harari	7	7	7	7	2	2	0	0	4	0	2	7	2	0	0	0	0	2	0	0	7	4	0	4	7	0	4	0	4	7
Jim Mahfood	0	4	2	4	0	7	0	4	4	4	4	4	7	7	7	0	0	0	0	0	2	2	4	4	4	0	2	0	0	2
Max Cooper	7	7	4	4	4	0	0	2	2	0	4	0	4	4	4	0	7	7	0	7	0	4	2	0	4	4	7	2	2	7
Indira Gandhi	4	7	4	4	0	0	0	0	0	0	0	4	0	0	0	4	4	4	0	7	7	7	0	4	4	0	0	0	4	0
Eva Longoria	4	4	7	7	7	2	0	4	0	0	7	4	4	0	2	0	2	2	0	0	7	7	0	4	7	4	2	0	4	0
David Goggins	7	4	4	7	7	7	2	4	0	0	4	4	2	0	0	0	2	2	0	0	4	7	2	4	4	0	0	0	2	0
Josh Pray	4	7	4	2	4	2	0	4	2	0	7	2	4	2	0	0	0	0	2	0	7	4	4	4	0	0	2	0	0	0
Remy Bonjasky	0	0	7	4	0	7	7	7	4	7	7	7	7	4	2	0	2	0	2	0	7	4	4	4	7	2	2	0	0	0
Usain Bolt	0	0	2	0	0	7	7	7	0	0	4	2	7	4	0	4	4	4	0	0	0	0	0	2	4	0	0	0	0	0
Graham Mertz	0	0	0	0	0	4	7	4	2	0	4	4	7	2	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	2
Thomasin McKenzie	2	2	0	0	0	7	4	4	4	4	7	7	7	4	4	0	0	0	0	0	0	0	0	2	0	4	7	0	2	2
Ryan McGinness	4	2	4	0	0	4	4	0	4	4	4	7	4	7	0	0	0	0	0	0	0	0	0	4	2	0	7	4	7	7
Kylian Mbappe	0	0	0	0	0	4	7	4	4	0	4	2	7	4	2	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
Saro	0	0	0	0	0	7	7	7	2	4	7	4	7	4	7	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0
Toby Hendy	7	0	7	7	2	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	2	2	0	2	7	7	4	7	4	4
Erika Harlacher	2	2	4	4	0	4	7	7	4	7	7	7	7	7	4	0	0	2	0	0	0	4	4	4	7	2	4	0	0	7
Volodymyr Zelenskyy	7	7	7	7	2	0	0	0	0	0	0	4	0	0	0	0	4	4	7	7	7	4	0	2	7	0	0	2	0	7
James Jean	7	7	2	4	7	0	0	0	2	0	2	4	7	2	7	0	0	2	2	0	0	0	0	0	4	7	7	4	2	7
Dani Shay	7	7	4	4	7	4	0	0	0	0	4	7	7	7	0	0	0	0	7	0	4	4	2	0	4	2	7	7	0	4
Lauren Tsai	4	2	2	2	4	0	0	4	4	0	2	4	4	2	4	0	4	4	2	4	4	2	0	0	4	7	7	4	4	4
Daniel Siegel		0																												
Robert Lawrence Kuhn		7																												
John Malkovich		0																												
River Phoenix		0																												
Lee Ji-eun		0																												
Ryan Seacrest		4																												
Ray Dalio		7																												
Janet Conrad		7																												
Becky G		0																												
Colin Powell		7																												
Jimmy Donaldson	0	0	2	2	0	7	7	4	4	7	7	4	7	7	0	0	2	2	0	0	2	7	2	4	4	0	0	0	0	0
