SubjectNr	SignalCode	SignalDescr	Count
14	Ca-8	Nasal-Breathy Voice	0
15	Ca-8	Nasal-Breathy Voice	0
16	Ca-8	Nasal-Breathy Voice	0
17	Ca-8	Nasal-Breathy Voice	0
18	Ca-8	Nasal-Breathy Voice	0
19	Ca-8	Nasal-Breathy Voice	0
20	Ca-8	Nasal-Breathy Voice	0
21	Ca-8	Nasal-Breathy Voice	0
22	Ca-8	Nasal-Breathy Voice	0
23	Ca-8	Nasal-Breathy Voice	0
24	Ca-8	Nasal-Breathy Voice	7
25	Ca-8	Nasal-Breathy Voice	0
26	Ca-8	Nasal-Breathy Voice	0
27	Ca-8	Nasal-Breathy Voice	0
28	Ca-8	Nasal-Breathy Voice	0
29	Ca-8	Nasal-Breathy Voice	0
30	Ca-8	Nasal-Breathy Voice	4
31	Ca-8	Nasal-Breathy Voice	0
32	Ca-8	Nasal-Breathy Voice	0
1	Ca-9	Grasping Hands	0
2	Ca-9	Grasping Hands	4
3	Ca-9	Grasping Hands	2
4	Ca-9	Grasping Hands	0
5	Ca-9	Grasping Hands	0
6	Ca-9	Grasping Hands	0
7	Ca-9	Grasping Hands	0
8	Ca-9	Grasping Hands	0
9	Ca-9	Grasping Hands	4
10	Ca-9	Grasping Hands	7
11	Ca-9	Grasping Hands	0
12	Ca-9	Grasping Hands	2
13	Ca-9	Grasping Hands	0
14	Ca-9	Grasping Hands	2
15	Ca-9	Grasping Hands	0
16	Ca-9	Grasping Hands	0
17	Ca-9	Grasping Hands	0
18	Ca-9	Grasping Hands	0
19	Ca-9	Grasping Hands	0
20	Ca-9	Grasping Hands	0
21	Ca-9	Grasping Hands	0
22	Ca-9	Grasping Hands	0
23	Ca-9	Grasping Hands	0
24	Ca-9	Grasping Hands	0
25	Ca-9	Grasping Hands	0
26	Ca-9	Grasping Hands	0
27	Ca-9	Grasping Hands	0
28	Ca-9	Grasping Hands	0
29	Ca-9	Grasping Hands	0
30	Ca-9	Grasping Hands	7
31	Ca-9	Grasping Hands	0
32	Ca-9	Grasping Hands	0
1	Gr-1	Taut Preseptal Area	7
2	Gr-1	Taut Preseptal Area	7
3	Gr-1	Taut Preseptal Area	7
4	Gr-1	Taut Preseptal Area	7
5	Gr-1	Taut Preseptal Area	4
6	Gr-1	Taut Preseptal Area	7
7	Gr-1	Taut Preseptal Area	7
8	Gr-1	Taut Preseptal Area	7
9	Gr-1	Taut Preseptal Area	0
10	Gr-1	Taut Preseptal Area	7
11	Gr-1	Taut Preseptal Area	7
12	Gr-1	Taut Preseptal Area	4
13	Gr-1	Taut Preseptal Area	4
14	Gr-1	Taut Preseptal Area	0
15	Gr-1	Taut Preseptal Area	2
16	Gr-1	Taut Preseptal Area	0
17	Gr-1	Taut Preseptal Area	7
18	Gr-1	Taut Preseptal Area	7
19	Gr-1	Taut Preseptal Area	0
20	Gr-1	Taut Preseptal Area	4
21	Gr-1	Taut Preseptal Area	7
22	Gr-1	Taut Preseptal Area	2
23	Gr-1	Taut Preseptal Area	7
24	Gr-1	Taut Preseptal Area	0
25	Gr-1	Taut Preseptal Area	0
26	Gr-1	Taut Preseptal Area	4
27	Gr-1	Taut Preseptal Area	0
28	Gr-1	Taut Preseptal Area	0
29	Gr-1	Taut Preseptal Area	2
30	Gr-1	Taut Preseptal Area	4
31	Gr-1	Taut Preseptal Area	7
32	Gr-1	Taut Preseptal Area	7
1	Gr-2	Lax Pretarsal Area	7
2	Gr-2	Lax Pretarsal Area	4
3	Gr-2	Lax Pretarsal Area	4
4	Gr-2	Lax Pretarsal Area	4
5	Gr-2	Lax Pretarsal Area	2
6	Gr-2	Lax Pretarsal Area	4
7	Gr-2	Lax Pretarsal Area	2
8	Gr-2	Lax Pretarsal Area	7
9	Gr-2	Lax Pretarsal Area	0
10	Gr-2	Lax Pretarsal Area	7
11	Gr-2	Lax Pretarsal Area	4
12	Gr-2	Lax Pretarsal Area	4
13	Gr-2	Lax Pretarsal Area	4
14	Gr-2	Lax Pretarsal Area	0
15	Gr-2	Lax Pretarsal Area	0
16	Gr-2	Lax Pretarsal Area	0
17	Gr-2	Lax Pretarsal Area	7
18	Gr-2	Lax Pretarsal Area	7
19	Gr-2	Lax Pretarsal Area	0
20	Gr-2	Lax Pretarsal Area	4
21	Gr-2	Lax Pretarsal Area	4
22	Gr-2	Lax Pretarsal Area	4
23	Gr-2	Lax Pretarsal Area	7
24	Gr-2	Lax Pretarsal Area	0
25	Gr-2	Lax Pretarsal Area	2
26	Gr-2	Lax Pretarsal Area	0
27	Gr-2	Lax Pretarsal Area	0
28	Gr-2	Lax Pretarsal Area	2
29	Gr-2	Lax Pretarsal Area	2
30	Gr-2	Lax Pretarsal Area	4
31	Gr-2	Lax Pretarsal Area	2
32	Gr-2	Lax Pretarsal Area	7
1	Gr-3	Raised Outer Edges	7
2	Gr-3	Raised Outer Edges	7
3	Gr-3	Raised Outer Edges	7
4	Gr-3	Raised Outer Edges	7
5	Gr-3	Raised Outer Edges	2
6	Gr-3	Raised Outer Edges	7
7	Gr-3	Raised Outer Edges	7
8	Gr-3	Raised Outer Edges	7
9	Gr-3	Raised Outer Edges	0
10	Gr-3	Raised Outer Edges	0
11	Gr-3	Raised Outer Edges	7
12	Gr-3	Raised Outer Edges	7
13	Gr-3	Raised Outer Edges	4
14	Gr-3	Raised Outer Edges	7
15	Gr-3	Raised Outer Edges	4
16	Gr-3	Raised Outer Edges	0
17	Gr-3	Raised Outer Edges	7
18	Gr-3	Raised Outer Edges	7
19	Gr-3	Raised Outer Edges	0
20	Gr-3	Raised Outer Edges	4
21	Gr-3	Raised Outer Edges	7
22	Gr-3	Raised Outer Edges	2
23	Gr-3	Raised Outer Edges	7
24	Gr-3	Raised Outer Edges	0
25	Gr-3	Raised Outer Edges	4
26	Gr-3	Raised Outer Edges	4
27	Gr-3	Raised Outer Edges	0
28	Gr-3	Raised Outer Edges	2
29	Gr-3	Raised Outer Edges	4
30	Gr-3	Raised Outer Edges	4
31	Gr-3	Raised Outer Edges	7
32	Gr-3	Raised Outer Edges	7
1	Gr-4	Frontalis Scowling	2
2	Gr-4	Frontalis Scowling	0
3	Gr-4	Frontalis Scowling	2
4	Gr-4	Frontalis Scowling	4
5	Gr-4	Frontalis Scowling	0
6	Gr-4	Frontalis Scowling	0
7	Gr-4	Frontalis Scowling	0
8	Gr-4	Frontalis Scowling	0
9	Gr-4	Frontalis Scowling	0
10	Gr-4	Frontalis Scowling	0
11	Gr-4	Frontalis Scowling	2
12	Gr-4	Frontalis Scowling	2
13	Gr-4	Frontalis Scowling	0
14	Gr-4	Frontalis Scowling	0
15	Gr-4	Frontalis Scowling	0
16	Gr-4	Frontalis Scowling	0
17	Gr-4	Frontalis Scowling	2
18	Gr-4	Frontalis Scowling	7
19	Gr-4	Frontalis Scowling	0
20	Gr-4	Frontalis Scowling	0
21	Gr-4	Frontalis Scowling	0
22	Gr-4	Frontalis Scowling	2
23	Gr-4	Frontalis Scowling	0
24	Gr-4	Frontalis Scowling	0
25	Gr-4	Frontalis Scowling	2
26	Gr-4	Frontalis Scowling	0
27	Gr-4	Frontalis Scowling	0
28	Gr-4	Frontalis Scowling	0
29	Gr-4	Frontalis Scowling	0
30	Gr-4	Frontalis Scowling	2
31	Gr-4	Frontalis Scowling	7
32	Gr-4	Frontalis Scowling	2
1	Gr-5	Pointed Eye-Toggling	2
2	Gr-5	Pointed Eye-Toggling	4
3	Gr-5	Pointed Eye-Toggling	4
4	Gr-5	Pointed Eye-Toggling	4
5	Gr-5	Pointed Eye-Toggling	0
6	Gr-5	Pointed Eye-Toggling	7
7	Gr-5	Pointed Eye-Toggling	0
8	Gr-5	Pointed Eye-Toggling	7
9	Gr-5	Pointed Eye-Toggling	0
10	Gr-5	Pointed Eye-Toggling	4
11	Gr-5	Pointed Eye-Toggling	4
12	Gr-5	Pointed Eye-Toggling	7
13	Gr-5	Pointed Eye-Toggling	7
14	Gr-5	Pointed Eye-Toggling	4
15	Gr-5	Pointed Eye-Toggling	7
16	Gr-5	Pointed Eye-Toggling	0
17	Gr-5	Pointed Eye-Toggling	0
18	Gr-5	Pointed Eye-Toggling	0
19	Gr-5	Pointed Eye-Toggling	0
20	Gr-5	Pointed Eye-Toggling	7
21	Gr-5	Pointed Eye-Toggling	4
22	Gr-5	Pointed Eye-Toggling	7
23	Gr-5	Pointed Eye-Toggling	7
24	Gr-5	Pointed Eye-Toggling	0
25	Gr-5	Pointed Eye-Toggling	7
26	Gr-5	Pointed Eye-Toggling	4
27	Gr-5	Pointed Eye-Toggling	0
28	Gr-5	Pointed Eye-Toggling	2
